Symbol,Date,Open,High,Low,Close,Adj Close,Volume
C,11/14/2019,73.610001,74.010002,73.330002,73.839996,73.353638,9446800
C,11/15/2019,74.339996,74.459999,73.68,74.400002,73.909958,10294000
C,11/18/2019,74.290001,74.639999,73.559998,74.400002,73.909958,8525700
C,11/19/2019,74.970001,75.239998,74.470001,74.82,74.327187,9095500
C,11/20/2019,74.629997,74.720001,73.220001,73.910004,73.423187,12799900
C,11/21/2019,74.080002,74.629997,73.510002,73.900002,73.413254,8585100
C,11/22/2019,74.099998,74.919998,73.970001,74.870003,74.376862,7910700
C,11/25/2019,74.93,75.849998,74.870003,75.68,75.181526,11497700
C,11/26/2019,75.839996,75.839996,74.82,75.459999,74.962975,11306000
C,11/27/2019,75.839996,76.129997,75.5,75.720001,75.22126,7592100
C,11/29/2019,75.43,75.800003,74.989998,75.120003,74.625214,6246900
C,12/2/2019,75.419998,75.93,74.43,74.519997,74.02916,11085300
C,12/3/2019,73.379997,73.470001,72.5,73.330002,72.847008,13559400
C,12/4/2019,73.830002,74.589996,73.419998,74.230003,73.741081,8266400
C,12/5/2019,74.650002,74.849998,74.349998,74.709999,74.217911,9581200
C,12/6/2019,75.93,76.220001,75.599998,75.809998,75.310669,9877800
C,12/9/2019,75.18,75.919998,75.080002,75.330002,74.833832,8817100
C,12/10/2019,75.07,76.269997,74.870003,75.779999,75.280869,13019600
C,12/11/2019,76.120003,76.209999,75.5,75.550003,75.052383,10484900
C,12/12/2019,75.809998,77.519997,75.620003,77.050003,76.542503,15829000
C,12/13/2019,77.050003,77.830002,76.059998,76.389999,75.886848,13447000
C,12/16/2019,77.360001,77.599998,76.900002,76.910004,76.403427,13967200
C,12/17/2019,77.290001,78.129997,77.129997,77.739998,77.227951,14409200
C,12/18/2019,77.699997,78.330002,77.660004,77.919998,77.406769,12643000
C,12/19/2019,78,78.519997,77.940002,78.199997,77.684921,13006200
C,12/20/2019,78.940002,79.050003,78.040001,78.510002,77.992889,32019400
C,12/23/2019,78.669998,78.970001,78.440002,78.760002,78.241241,9256500
C,12/24/2019,78.699997,78.940002,78.459999,78.589996,78.072357,4576200
C,12/26/2019,78.75,79.839996,78.650002,79.830002,79.304192,11992800
C,12/27/2019,80,80.18,79.580002,79.669998,79.145241,10867900
