Symbol,Date,Open,High,Low,Close,Adj Close,Volume
JPM,8/22/2019,108.370003,109.269997,107.93,108.720001,107.167999,9343400
JPM,8/23/2019,108,108.779999,105.110001,106.019997,104.506538,14762300
JPM,8/26/2019,106.620003,106.989998,106.010002,106.870003,105.344414,8209500
JPM,8/27/2019,107.349998,107.559998,104.839996,105.739998,104.23053,14331800
JPM,8/28/2019,105.080002,107.209999,105.040001,106.800003,105.275406,10585500
JPM,8/29/2019,108.139999,109.889999,108.019997,109.220001,107.660866,10002200
JPM,8/30/2019,109.839996,110.559998,109.470001,109.860001,108.291725,10170300
JPM,9/3/2019,108.980003,108.989998,107.32,108.559998,107.010284,9868800
JPM,9/4/2019,109.449997,110.220001,108.559998,109.870003,108.301582,6929200
JPM,9/5/2019,111.25,113.720001,111.199997,112.370003,110.765892,13224700
JPM,9/6/2019,112.660004,112.980003,111.959999,112.610001,111.002464,7836600
JPM,9/9/2019,113.709999,116.059998,113.599998,115.400002,113.75264,13985100
JPM,9/10/2019,116.300003,117.269997,115.730003,116.870003,115.20166,14333100
JPM,9/11/2019,116.889999,117.199997,115.379997,117.190002,115.51709,9919200
JPM,9/12/2019,116.550003,118.470001,115.919998,117.910004,116.226814,12283500
JPM,9/13/2019,119,120.400002,118.75,120.230003,118.513687,16257200
JPM,9/16/2019,118.900002,119.870003,118.379997,119.160004,117.458969,11993900
JPM,9/17/2019,118.419998,118.610001,117.239998,118.57,116.87738,10735400
JPM,9/18/2019,118.32,120.080002,117.75,119.760002,118.0504,10665600
JPM,9/19/2019,119.699997,120.339996,119.089996,119.379997,117.675819,9382600
JPM,9/20/2019,119.739998,120.339996,118.870003,118.900002,117.202675,21862800
JPM,9/23/2019,117.779999,119.120003,117.68,118.879997,117.182961,9135100
JPM,9/24/2019,118.75,119.260002,117.040001,117.330002,115.65509,11696500
JPM,9/25/2019,117.269997,118.360001,117.120003,118,116.315521,9389400
JPM,9/26/2019,117.879997,118.050003,116.949997,117.029999,115.359367,9899200
JPM,9/27/2019,117.959999,118.639999,117.279999,117.720001,116.03952,10207800
JPM,9/30/2019,118.360001,118.769997,117.220001,117.690002,116.009949,9755000
JPM,10/1/2019,118.400002,119,115.410004,115.550003,113.900497,11250300
JPM,10/2/2019,114.809998,114.900002,112.93,113.25,111.633331,12548700
